open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,ignore,open_datetime,close_datetime
1773314116000,70426.66,70426.66,70426.65,70426.66,0.03405,1773314116999,2398.0274353,10,0.00028,19.7194648,0,2026-03-12 11:15:16+00:00,2026-03-12 11:15:16.999000+00:00
1773314117000,70426.65,70426.65,70408.9,70408.9,0.24955,1773314117999,17572.3045053,354,0.00013,9.1540995,0,2026-03-12 11:15:17+00:00,2026-03-12 11:15:17.999000+00:00
1773314118000,70408.91,70417.97,70408.91,70417.97,0.03188,1773314118999,2244.7556784,113,0.03188,2244.7556784,0,2026-03-12 11:15:18+00:00,2026-03-12 11:15:18.999000+00:00
1773314119000,70417.98,70417.98,70417.98,70417.98,0.03772,1773314119999,2656.1662056,10,0.03772,2656.1662056,0,2026-03-12 11:15:19+00:00,2026-03-12 11:15:19.999000+00:00
1773314120000,70417.98,70417.98,70417.98,70417.98,0.1743,1773314120999,12273.853914,9,0.1743,12273.853914,0,2026-03-12 11:15:20+00:00,2026-03-12 11:15:20.999000+00:00
1773314121000,70417.98,70417.98,70417.98,70417.98,0.04907,1773314121999,3455.4102786,11,0.04907,3455.4102786,0,2026-03-12 11:15:21+00:00,2026-03-12 11:15:21.999000+00:00
1773314122000,70417.97,70417.98,70417.97,70417.98,0.0224,1773314122999,1577.3625455,11,0.00175,123.231465,0,2026-03-12 11:15:22+00:00,2026-03-12 11:15:22.999000+00:00
1773314123000,70417.97,70417.97,70412.86,70412.86,0.05446,1773314123999,3834.8800262,63,0.00837,589.3557219,0,2026-03-12 11:15:23+00:00,2026-03-12 11:15:23.999000+00:00
1773314124000,70412.86,70412.87,70412.86,70412.87,0.01052,1773314124999,740.743288,7,8e-05,5.6330296,0,2026-03-12 11:15:24+00:00,2026-03-12 11:15:24.999000+00:00
1773314125000,70412.87,70412.87,70412.86,70412.87,0.03998,1773314125999,2815.1062091,9,0.00663,466.8373281,0,2026-03-12 11:15:25+00:00,2026-03-12 11:15:25.999000+00:00
